"UNSEASONABLY DRY"			NA
"GUSTY WIND"			NA
"GUSTY WIND"			NA
"THUNDERSTORM WIND 40"			NA
"THUNDERSTORM WIND 45"			NA
"HARD FREEZE"			NA
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"HEAT"			"HEAT"
"RIVER FLOOD"			NA
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"RIP CURRENT"			"RIP CURRENT"
"THUNDERSTORM WND"			"THUNDERSTORM WIND"
"DENSE FOG"			"DENSE FOG"
"WINTRY MIX"			NA
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"MUD SLIDE"			NA
"MUDSLIDE"			NA
"MUDSLIDE"			NA
"FROST"			NA
"FROST/FREEZE"			"FROST/FREEZE"
"SNOW AND ICE"			NA
"WIND DAMAGE"			NA
"RAIN"			NA
"RECORD WARMTH"			NA
"PROLONG COLD"			NA
"COLD AND FROST"			NA
"RECORD COLD"			NA
"PROLONG COLD"			NA
"AGRICULTURAL FREEZE"			NA
"URBAN/SML STREAM FLDG"			NA
"SNOW SQUALL"			NA
"HEAVY SNOW SQUALL"			NA
"SNOW/ICE"			NA
"GUSTY WIND"			NA
"SMALL HAIL"			NA
"SNOW SQUALL"			NA
"LAKE EFFECT SNOW"			"LAKE-EFFECT SNOW"
"STRONG WIND GUST"			"STRONG WIND"
"LATE FREEZE"			NA
"RECORD TEMPERATURE"			NA
"ICY ROAD"			NA
"RECORD SNOWFALL"			NA
"BLOW-OUT TIDE"			NA
"THUNDERSTORM"			NA
"HYPOTHERMIA/EXPOSURE"			NA
"HYPOTHERMIA/EXPOSURE"			NA
"LAKE EFFECT SNOW"			"LAKE-EFFECT SNOW"
"MIXED PRECIPITATION"			NA
"RECORD HIGH"			NA
"COASTALSTORM"			NA
"LIGHT SNOW"			NA
"SNOW AND SLEET"			NA
"FREEZING RAIN"			NA
"GUSTY WIND"			NA
"FUNNEL CLOUD"			"FUNNEL CLOUD"
"WATERSPOUT"			"WATERSPOUT"
"FROST"			NA
"ICE"			NA
"GRADIENT WIND"			NA
"ICESTORM/BLIZZARD"			NA
"FLOOD/STRONG WIND"			NA
"THUNDERSTORM WIND AND LIGHTNING"			NA
"GRADIENT WIND"			NA
"SEVERE THUNDERSTORM"			NA
"EXCESSIVE RAIN"			NA
"FREEZING DRIZZLE"			NA
"MOUNTAIN SNOW"			NA
"URBAN/SMALL STRM FLDG"			NA
"WET MICROBURST"			NA
"HEAVY SURF AND WIND"			NA
"MILD AND DRY PATTERN"			NA
"COLD AND FROST"			NA
"RECORD HEAT"			NA
"TYPHOON"			NA
"LANDSLIDE"			NA
"HIGH SWELL"			NA
"HIGH  SWELL"			NA
"VOLCANIC ASH"			"VOLCANIC ASH"
"HIGH WIND"			"HIGH WIND"
"DRY SPELL"			NA
"LIGHTNING"			"LIGHTNING"
"BEACH EROSION"			NA
"UNSEASONAL RAIN"			NA
"EARLY RAIN"			NA
"PROLONGED RAIN"			NA
"WINTERY MIX"			NA
"COASTAL FLOODING/EROSION"			NA
"UNSEASONABLY WET"			NA
"HOT SPELL"			NA
"HEAT WAVE"			NA
"UNSEASONABLY HOT"			NA
"UNSEASONABLY WARM AND DRY"			NA
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"HIGH WIND"			"HIGH WIND"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"DRY WEATHER"			NA
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"FREEZING RAIN/SLEET"			NA
"ABNORMAL WARMTH"			NA
"UNUSUAL WARMTH"			NA
"GLAZE"			NA
"WAKE LOW WIND"			NA
"MONTHLY RAINFALL"			NA
"COLD TEMPERATURE"			NA
"COLD WIND CHILL TEMPERATURE"			NA
"MODERATE SNOW"			NA
"MODERATE SNOWFALL"			NA
"URBAN/STREET FLOODING"			NA
"COASTAL EROSION"			NA
"UNUSUAL/RECORD WARMTH"			NA
"BITTER WIND CHILL"			NA
"BITTER WIND CHILL TEMPERATURE"			NA
"SEICHE"			"SEICHE"
"THUNDERSTORM"			NA
"COASTAL  FLOODING/EROSION"			NA
"SNOW DROUGHT"			NA
"UNSEASONABLY WARM YEAR"			NA
"HYPERTHERMIA/EXPOSURE"			NA
"SNOW/SLEET"			NA
"ROCK SLIDE"			NA
"ICE PELLET"			NA
"URBAN FLOOD"			NA
"PATCHY DENSE FOG"			NA
"RECORD COOL"			NA
"RECORD WARM"			NA
"HOT WEATHER"			NA
"RIVER FLOODING"			NA
"RECORD TEMPERATURE"			NA
"SAHARAN DUST"			NA
"TROPICAL DEPRESSION"			"TROPICAL DEPRESSION"
"VOLCANIC ERUPTION"			NA
"COOL SPELL"			NA
"WIND ADVISORY"			NA
"GUSTY WIND/HAIL"			NA
"RED FLAG FIRE WX"			NA
"FIRST FROST"			NA
"EXCESSIVELY DRY"			NA
"HEAVY SEA"			NA
"FLASH FLOOD/FLOOD"			NA
"SNOW AND SLEET"			NA
"LIGHT SNOW/FREEZING PRECIP"			NA
"VOG"			NA
"EXCESSIVE RAINFALL"			NA
"FLASH FLOODING"			NA
"MONTHLY PRECIPITATION"			NA
"MONTHLY TEMPERATURE"			NA
"RECORD DRYNES"			NA
"EXTREME WINDCHILL TEMPERATURE"			NA
"MIXED PRECIPITATION"			NA
"EXTREME WIND CHILL"			NA
"DRY CONDITION"			NA
"HEAVY RAINFALL"			NA
"REMNANTS OF FLOYD"			NA
"EARLY SNOWFALL"			NA
"FREEZING FOG"			"FREEZING FOG"
"LANDSPOUT"			NA
"DRIEST MONTH"			NA
"RECORD  COLD"			NA
"LATE SEASON HAIL"			NA
"EXCESSIVE SNOW"			NA
"WINTER MIX"			NA
"DRYNES"			NA
"FLOOD/FLASH/FLOOD"			NA
"WIND AND WAVE"			NA
"SEVERE THUNDERSTORM"			NA
"LIGHT FREEZING RAIN"			NA
"WIND"			NA
"MONTHLY SNOWFALL"			NA
"DRY"			NA
"RECORD RAINFALL"			NA
"RECORD PRECIPITATION"			NA
"ICE ROAD"			NA
"HIGH SEA"			NA
"SLEET"			"SLEET"
"ROUGH SEA"			NA
"UNSEASONABLY WARM/WET"			NA
"UNSEASONABLY COOL & WET"			NA
"UNUSUALLY WARM"			NA
"THUNDERSTORM WIND G45"			NA
"NON SEVERE HAIL"			NA
"RECORD SNOW"			NA
"SNOW/FREEZING RAIN"			NA
"SNOW/BLOWING SNOW"			NA
"NON-SEVERE WIND DAMAGE"			NA
"UNUSUALLY COLD"			NA
"WARM WEATHER"			NA
"LANDSLUMP"			NA
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"LANDSLIDE"			NA
"WALL CLOUD"			NA
"HIGH WATER"			NA
"UNSEASONABLY WARM & WET"			NA
"FLASH FLOOD"			"FLASH FLOOD"
"LOCALLY HEAVY RAIN"			NA
"WIND GUST"			NA
"UNSEASONAL LOW TEMP"			NA
